metric,year,value
- Short Term Provisions,2024,14.5
- Short Term Provisions,2025,68.3
- Use of Funds,2014,None
- Use of Funds,2015,None
- Use of Funds,2016,None
- Use of Funds,2017,None
- Use of Funds,2018,None
- Use of Funds,2019,None
- Use of Funds,2020,None
- Use of Funds,2021,None
- Use of Funds,2022,None
- Use of Funds,2023,None
- Use of Funds,2024,None
- Use of Funds,2025,None
- Purchase of Investments,2014,None
- Purchase of Investments,2015,None
- Purchase of Investments,2016,None
- Purchase of Investments,2017,None
- Purchase of Investments,2018,None
- Purchase of Investments,2019,None
- Purchase of Investments,2020,None
- Purchase of Investments,2021,None
- Purchase of Investments,2022,None
- Purchase of Investments,2023,None
- Purchase of Investments,2024,-4.5
- Purchase of Investments,2025,-34.4
- Sale of Investments,2014,None
- Sale of Investments,2015,None
- Sale of Investments,2016,None
- Sale of Investments,2017,None
- Sale of Investments,2018,None
- Sale of Investments,2019,None
- Sale of Investments,2020,None
- Sale of Investments,2021,None
- Sale of Investments,2022,None
- Sale of Investments,2023,None
- Sale of Investments,2024,None
- Sale of Investments,2025,0.9
- Interest Received,2014,None
- Interest Received,2015,None
- Interest Received,2016,None
- Interest Received,2017,None
- Interest Received,2018,None
- Interest Received,2019,None
- Interest Received,2020,None
- Interest Received,2021,None
- Interest Received,2022,None
- Interest Received,2023,None
- Interest Received,2024,3.8
- Interest Received,2025,3.9
- Proceeds from Share Issue / Share Warrants,2014,None
- Proceeds from Share Issue / Share Warrants,2015,None
- Proceeds from Share Issue / Share Warrants,2016,None
- Proceeds from Share Issue / Share Warrants,2017,None
- Proceeds from Share Issue / Share Warrants,2018,None
- Proceeds from Share Issue / Share Warrants,2019,None
- Proceeds from Share Issue / Share Warrants,2020,None
- Proceeds from Share Issue / Share Warrants,2021,None
- Proceeds from Share Issue / Share Warrants,2022,4.9
- Proceeds from Share Issue / Share Warrants,2023,None
- Proceeds from Share Issue / Share Warrants,2024,None
- Proceeds from Share Issue / Share Warrants,2025,None
- Redemption or Buyback of Capital,2014,None
- Redemption or Buyback of Capital,2015,None
- Redemption or Buyback of Capital,2016,None
- Redemption or Buyback of Capital,2017,None
- Redemption or Buyback of Capital,2018,None
- Redemption or Buyback of Capital,2019,None
- Redemption or Buyback of Capital,2020,None
- Redemption or Buyback of Capital,2021,None
- Redemption or Buyback of Capital,2022,None
- Redemption or Buyback of Capital,2023,None
- Redemption or Buyback of Capital,2024,None
- Redemption or Buyback of Capital,2025,None
- Interest Paid,2014,None
- Interest Paid,2015,None
- Interest Paid,2016,None
- Interest Paid,2017,None
- Interest Paid,2018,None
- Interest Paid,2019,None
- Interest Paid,2020,None
- Interest Paid,2021,None
- Interest Paid,2022,-0.3
- Interest Paid,2023,-0.3
- Interest Paid,2024,-0.6
- Interest Paid,2025,-1.1
- Material Margin,2014,None
- Material Margin,2015,None
- Material Margin,2016,None
- Material Margin,2017,None
- Material Margin,2018,None
- Material Margin,2019,None
- Material Margin,2020,None
- Material Margin,2021,None
- Material Margin,2022,None
- Material Margin,2023,None
- Material Margin,2024,None
- Material Margin,2025,None
- roic,2014,None
- roic,2015,None
- roic,2016,None
- roic,2017,None
- roic,2018,None
- roic,2019,None
- roic,2020,None
- roic,2021,None
- roic,2022,None
- roic,2023,None
- roic,2024,None
- roic,2025,None
- RoCE,2014,None
- RoCE,2015,None
- RoCE,2016,None
- RoCE,2017,None
- RoCE,2018,None
- RoCE,2019,None
- RoCE,2020,None
- RoCE,2021,None
- RoCE,2022,9.097633136094675
- RoCE,2023,8.728278041074255
- RoCE,2024,19.665718349928856
- RoCE,2025,22.303985412867934
- ROE,2014,None
- ROE,2015,None
- ROE,2016,None
- ROE,2017,None
- ROE,2018,None
- ROE,2019,None
- ROE,2020,None
- ROE,2021,None
- ROE,2022,None
- ROE,2023,290.6250000000002
- ROE,2024,111.72413793103428
- ROE,2025,51.72555464256368
- networking capital,2014,None
- networking capital,2015,None
- networking capital,2016,None
- networking capital,2017,None
- networking capital,2018,None
- networking capital,2019,None
- networking capital,2020,None
- networking capital,2021,None
- networking capital,2022,None
- networking capital,2023,None
- networking capital,2024,None
- networking capital,2025,None
- core net work cap,2014,None
- core net work cap,2015,None
- core net work cap,2016,None
- core net work cap,2017,None
- core net work cap,2018,None
- core net work cap,2019,None
- core net work cap,2020,None
- core net work cap,2021,None
- core net work cap,2022,None
- core net work cap,2023,None
- core net work cap,2024,None
- core net work cap,2025,None
- inventory_days,2014,None
- inventory_days,2015,None
- inventory_days,2016,None
- inventory_days,2017,None
- inventory_days,2018,None
- inventory_days,2019,None
- inventory_days,2020,None
- inventory_days,2021,None
- inventory_days,2022,None
- inventory_days,2023,None
- inventory_days,2024,None
- inventory_days,2025,None
- receivable_days,2014,None
- receivable_days,2015,None
- receivable_days,2016,None
- receivable_days,2017,None
- receivable_days,2018,None
- receivable_days,2019,None
- receivable_days,2020,None
- receivable_days,2021,None
- receivable_days,2022,None
- receivable_days,2023,None
- receivable_days,2024,None
- receivable_days,2025,None
- payable_days,2014,None
- payable_days,2015,None
- payable_days,2016,None
- payable_days,2017,None
- payable_days,2018,None
- payable_days,2019,None
- payable_days,2020,None
- payable_days,2021,None
- payable_days,2022,None
- payable_days,2023,None
- payable_days,2024,None
- payable_days,2025,None
